Title,Genre,Duration,Year,Critics_Consensus,Consesus_Polarity,Director,Tomatometer_Score,Tomatometer_State,Audience_State,Audience_Score,Image
Frozen, Drama, 1h 32m,2010,,0.0,,,,,,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif
From Paris With Love, Action/Adventure, 1h 32m,2010,Thought not without its charms -- chief among them John Travolta's endearingly over-the-top performance -- From Paris with Love is too muddled and disjointed to satisfy.,0.0,,37,rotten,spilled,54,https://resizing.flixster.com/qZtxpO7A6fEJ37pn0Y9r5DxZ1G4=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3501155_p_v8_ak.jpg
I Love You Phillip Morris, Romance/Comedy, 1h 38m,2009,"This fact-based romantic comedy has its flaws, but they're mostly overcome by its consistently sweet, funny tone and one of the best performances of Jim Carrey's career.",0.42000000000000004,,71,certified-fresh,upright,61,https://resizing.flixster.com/Se6W1B4qEK0S_Q4EDfLEwXRbNA8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3595211_p_v8_aa.jpg
Percy Jackson & the Olympians: The Lightning Thief, Kids & family/Adventure, 1h 59m,2010,"Though it may seem like just another Harry Potter knockoff, Percy Jackson benefits from a strong supporting cast, a speedy plot, and plenty of fun with Greek mythology.",0.24583333333333335,,49,rotten,spilled,53,https://resizing.flixster.com/NSPN4zDxG2OAu6iX1jK-t4vJiVw=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p177957_p_v8_ab.jpg
Shutter Island, Mystery & thriller/Drama, 2h 18m,2010,"It may not rank with Scorsese's best work, but Shutter Island's gleefully unapologetic genre thrills represent the director at his most unrestrained.",0.6333333333333333,,69,fresh,upright,77,https://resizing.flixster.com/dS9_UXykzFWMLxKC2NfI_GV-eR0=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3531967_p_v13_an.jpg
Cop Out, Comedy/Crime, 1h 43m,2010,Cop Out is a cliched buddy action/comedy that suffers from stale gags and slack pacing.,-0.55,,18,rotten,spilled,39,https://resizing.flixster.com/Dv51_FIIM6IZ83udYkD6YbBX588=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7820966_p_v8_aa.jpg
Green Zone, Action/Mystery & thriller, 1h 55m,2010,Matt Damon and Paul Greengrass return to the propulsive action and visceral editing of the Bourne films -- but a cliched script and stock characters keep those methods from being as effective this time around.,0.35,,53,rotten,spilled,57,https://resizing.flixster.com/aWnfiZfHgGWuVpUJmJ67x1zHRVE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p194534_p_v8_ag.jpg
She's Out of My League, Romance/Comedy, 1h 46m,2010,"She's Out of My League has moments of humor and insight, but it's bogged down by excessive vulgarity and cartoonishness.",-0.20185185185185187,,57,rotten,spilled,59,https://resizing.flixster.com/GwAGgR6o-cBrGODn_vaIY-byVvw=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7876870_p_v8_ah.jpg
Our Family Wedding, Romance/Comedy, 1h 41m,2010,"Our Family Wedding is a mirthless, contrived affair that does little with its promising premise and talented cast.",0.05312499999999999,,15,rotten,spilled,48,https://resizing.flixster.com/_PS7ceG4Es1fqT8cBvlyY-2BUSs=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7876862_p_v8_aa.jpg
Remember Me?, Comedy, 1h 21m,1997,,0.0,,,,,,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif
The Bounty Hunter, Action, 1h 31m,1989,,0.0,,,,,,https://resizing.flixster.com/i22xEIl3evceIVj_lQoVvPA4q0g=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11960_p_v11_ab.jpg
Hot Tub Time Machine, Comedy/Fantasy, 1h 39m,2010,Its flagrantly silly script -- and immensely likable cast -- make up for most of its flaws.,0.16666666666666666,,64,fresh,spilled,56,https://resizing.flixster.com/shqXgUczsVGIhkcsR6P-IJkyQWA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7820979_p_v8_an.jpg
Runaways, Drama, 1h 40m,2004,,0.0,,,,spilled,40,https://resizing.flixster.com/TaQ6yYSElW-WRoYjjDqr6JW9EzI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p89256_p_v8_aa.jpg
Season of the Witch, Drama/Mystery & thriller, 2h 30m,2009,,0.0,,,,,,https://resizing.flixster.com/_f9K2QvyC9yyL1b4ivfbWNLJPx0=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16581881_p_v7_aa.jpg
Clash of the Titans, Fantasy/Adventure, 1h 46m,2010,"An obviously affectionate remake of the 1981 original, Louis Leterrier's Clash of the Titans doesn't offer enough visual thrills to offset the deficiencies of its script.",0.09375,,27,rotten,spilled,40,https://resizing.flixster.com/I0xuH0PggHU_OHyC0pizJuc0kqQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3546080_p_v8_aa.jpg
Diary of a Wimpy Kid, Kids & family/Comedy, 1h 32m,2010,"Unlike its bestselling source material, Diary of a Wimpy Kid fails to place a likable protagonist at the center of its middle-school humor -- and its underlying message is drowned out as a result.",-0.05,,55,rotten,spilled,49,https://resizing.flixster.com/jV6ZxwC5lsELihhcKiO1vqQJyhk=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7876903_p_v8_ar.jpg
Furry Vengeance, Kids & family/Comedy, 1h 31m,2010,"A thin premise stretched far beyond serviceable length, Furry Vengeance subjects Brendan Fraser -- and the audience -- to 92 minutes of abuse.",-0.11666666666666665,,8,rotten,spilled,32,https://resizing.flixster.com/DRIbpWbhSinHx_4qn1HHCJRnXmM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7876926_p_v8_ai.jpg
Repo Men, Sci-fi/Action, 1h 51m,2010,"Repo Men has an intriguing premise, as well as a likable pair of leads, but they're wasted on a rote screenplay, indifferent direction, and mind-numbing gore.",0.20000000000000004,,21,rotten,spilled,41,https://resizing.flixster.com/De-GoRMQ6ygQLLkmvXRl9ZXIDhk=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7876953_p_v11_ak.jpg
Tyler Perry's Why Did I Get Married Too?, Comedy/Drama, 2h 1m,2010,"It's bolstered by a strong performance from Janet Jackson, but ultimately, Tyler Perry's Why Did I Get Married Too? doesn't add anything new to Perry's melodramatic formula.",0.20492424242424243,,27,rotten,upright,68,https://resizing.flixster.com/Ab7GDDrfIcPPW2UN4Sn2QcL1bao=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7885587_p_v8_ab.jpg
Date Night, Romance/Comedy, 1h 28m,2010,"An uneasy blend of action and comedy, Date Night doesn't quite live up to the talents of its two leads, but Steve Carell and Tina Fey still manage to shine through most of the movie's flaws.",0.24545454545454545,,67,fresh,spilled,55,https://resizing.flixster.com/ddtKd3TItwKl6VD8n2XlaEsPS5o=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7876919_p_v13_ar.jpg
Death at a Funeral, Comedy, 1h 28m,2010,"It's amusing and it assembles a talented cast, but Neil LaBute's surprisingly faithful remake of the 2007 Frank Oz dramedy ultimately falls short of the original.",0.3958333333333333,,43,rotten,spilled,45,https://resizing.flixster.com/eeMwrmb5r26JZY-5HfYhGAPC6P0=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7815848_p_v12_an.jpg
Kick-Ass, Action/Comedy, 1h 57m,2010,"Not for the faint of heart, Kick-Ass takes the comic adaptation genre to new levels of visual style, bloody violence, and gleeful profanity.",-0.18272727272727274,,77,certified-fresh,upright,81,https://resizing.flixster.com/TldIN8A_ikbpXRVDPr3WVuOiQfc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7876199_p_v8_ak.jpg
Machete, Action, 1h 44m,2010,"Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films.",-0.07619047619047617,,70,certified-fresh,upright,63,https://resizing.flixster.com/lcTUvS5HXey0LmXKd30U3M7wYTY=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8097568_p_v7_am.jpg
Oceans, Documentary, 1h 42m,2009,Oceans adds another visually stunning chapter to the Disney Nature library.,0.5,,81,certified-fresh,upright,75,https://resizing.flixster.com/QjasJfhnRz-Jg3gZ0HtueG9hd94=/206x305/v2/https://resizing.flixster.com/dEEJ0eGnkNw3IOq_-7LJLU8O0wY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA5MDVhYmUwLWEzOTAtNDYwZS1hZjIwLTczMTAxMzkxZTIzMi53ZWJw
A Nightmare on Elm Street, Horror, 1h 36m,2010,"Visually faithful but lacking the depth and subversive twists that made the original so memorable, the Nightmare on Elm Street remake lives up to its title in the worst possible way.",-0.025,,14,rotten,spilled,43,https://resizing.flixster.com/XBOInm7LP4famgBW3YwP7QJ0oBA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7868920_p_v11_aq.jpg
Robin Hood, Adventure/Action, 2h 19m,2010,"Ridley Scott's revisionist take on this oft-told tale offers some fine acting and a few gripping action sequences, but it's missing the thrill of adventure that made Robin Hood a legend in the first place.",0.12083333333333332,,44,rotten,spilled,58,https://resizing.flixster.com/amHsmm205H2dkfEvVAQ6Q-VwhSE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7874392_p_v11_aw.jpg
Takers, Action/Crime, 1h 47m,2010,"Takers boasts some gripping set pieces and keeps things moving quickly, but its two-dimensional characters, clichéd script, and brazenly derivative plot make it hard to recommend.",0.11041666666666665,,28,rotten,upright,62,https://resizing.flixster.com/9ZOmsYJlRieXId-uTL4SDWfYQSI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p189063_p_v8_ad.jpg
Sex and the City 2, Romance/Comedy, 2h 27m,2010,"Straining under a thin plot stretched to its limit by a bloated running time, Sex and the City 2 adds an unfortunate coda to the long-running HBO series.",-0.31666666666666665,,15,rotten,spilled,43,https://resizing.flixster.com/xzlSg9U3b4m5If-R1-JpgBquReE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7885838_p_v8_af.jpg
Killers, Action, 1h 55m,2003,,0.0,,,,,,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif
Marmaduke, Kids & family/Comedy, 1h 28m,2010,"Dull and unfunny, Marmaduke offers family filmgoers little more than another round of talking animals and scatological humor.",-0.01583333333333333,,9,rotten,spilled,42,https://resizing.flixster.com/BnkoIBMJj-WycYIQ_2ebAIe-I8o=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7938879_p_v8_ax.jpg
The A-Team, Action/Adventure, 1h 58m,2010,The A-Team assembles a top-rate cast only to ditch the show's appealingly silly premise for explosive yet muddled blockbuster filmmaking.,-0.25,,49,rotten,upright,66,https://resizing.flixster.com/vIn0nlO-mJOvNrP118J0IJl5mNo=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7938924_p_v8_aj.jpg
Get Him to the Greek, Comedy, 1h 48m,2010,"Thanks to a suitably raunchy script and a pair of winning performances from Jonah Hill and Russell Brand, Get Him to the Greek is one of the year's funniest comedies.",0.05,,72,certified-fresh,upright,62,https://resizing.flixster.com/Njv3IzI4k4bFSDubuhCBp5AgN74=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7941353_p_v8_ai.jpg
The Karate Kid, Kids & family/Drama, 2h 20m,2010,"It may not be as powerful as the 1984 edition, but the 2010 Karate Kid delivers a surprisingly satisfying update on the original.",0.39166666666666666,,66,fresh,upright,67,https://resizing.flixster.com/WGvvMYwm_Xiqr5DgoaxF0OBQNYo=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/86614/86614_aa.jpg
Jonah Hex, Action/Adventure, 1h 21m,2010,"Josh Brolin gives it his best shot, but he can't keep the short, unfocused Jonah Hex from collapsing on the screen.",0.19999999999999998,,12,rotten,spilled,20,https://resizing.flixster.com/Qb4tF416YlzK8m0lLnmiD9eW0wQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3624505_p_v8_ar.jpg
Toy Story 3, Kids & family/Comedy, 1h 42m,2010,"Deftly blending comedy, adventure, and honest emotion, Toy Story 3 is a rare second sequel that really works.",0.33999999999999997,,98,certified-fresh,upright,90,https://resizing.flixster.com/n05rzJetP10tJg-Ngmc4xgi7PoY=/206x305/v2/https://resizing.flixster.com/F4qdcvTFMYoEmut3WmhBVmYeSVI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzlhZDg3ZjU1LTk3ZTAtNDMzMC04MzliLTNiMzE5YmQ3ZDQ4OC53ZWJw
Grown Ups, Comedy, 1h 42m,2010,"Grown Ups' cast of comedy vets is amiable, but they're let down by flat direction and the scattershot, lowbrow humor of a stunted script.",-0.09027777777777778,,10,rotten,upright,62,https://resizing.flixster.com/cDFCN3rnZRqsc9IFfgFL7xYk0-k=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7937506_p_v8_ah.jpg
The Last Airbender, Fantasy/Adventure, 1h 43m,2010,"The Last Airbender squanders its popular source material with incomprehensible plotting, horrible acting, and detached joyless direction.",-0.1,,5,rotten,spilled,30,https://resizing.flixster.com/Ljv7a6Y-P4MdjaLiiAtsdLyyQQw=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3597018_p_v8_aa.jpg
Despicable Me, Kids & family/Comedy, 1h 35m,2010,"Borrowing heavily (and intelligently) from Pixar and Looney Tunes, Despicable Me is a surprisingly thoughtful, family-friendly treat with a few surprises of its own.",0.27999999999999997,,80,certified-fresh,upright,83,https://resizing.flixster.com/MqvdlCrPX3durqXUjUaS7ZkNwyQ=/206x305/v2/https://resizing.flixster.com/uA07pd_5W7ciZbBiDF0GzQDq1EU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Y0NzM2Y2YxLTc5NmItNDA2OS04YjIzLTBhNDUxOTQ3NGU4Yi53ZWJw
Salt, Mystery & thriller, 1h 23m,2006,,0.0,,,,,,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif
Beastly, Fantasy/Romance, 1h 26m,2011,"Fundamentally misguided, poorly written, and badly acted, Beastly adds little to the legacy of its timeless source material.",-0.42916666666666664,,21,rotten,spilled,48,https://resizing.flixster.com/9-ZaPfQaiLmz6RxIQroXdbhhhks=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8000512_p_v8_af.jpg
Cats & Dogs: The Revenge of Kitty Galore, Kids & family/Comedy, 1h 22m,2010,"Dull and unfunny, this inexplicable sequel offers little more than the spectacle of digitally rendered talking animals with celebrity voices.",-0.0798611111111111,,13,rotten,spilled,38,https://resizing.flixster.com/S6ZoiQOon07lt8lZKLA-og5J4Yc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7995627_p_v8_am.jpg
Little Fockers, Comedy, 1h 37m,2010,"As star-studded as it is heartbreakingly lazy, Little Fockers takes the top-grossing trilogy to embarrassing new lows.",-0.10037878787878789,,9,rotten,spilled,34,https://resizing.flixster.com/SzAKH3bxvjrN5WbmFyBwvsIIzJE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8160428_p_v8_bi.jpg
Morning Glory, Romance/Comedy, 1h 50m,2010,"It's lifted by affable performances from its impeccable cast, and it's often charming -- but Morning Glory is also inconsistent and derivative.",0.75,,56,rotten,spilled,51,https://resizing.flixster.com/4-c7413gyF62WNeTWvQCaGkI8Ug=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8000532_p_v8_at.jpg
The Other Guys, Comedy/Action, 1h 47m,2010,"A clever parody of cop-buddy action-comedies, The Other Guys delivers several impressive action set pieces and lots of big laughs, thanks to the assured comic chemistry between Will Ferrell and Mark Wahlberg.",0.19895833333333335,,79,certified-fresh,upright,60,https://resizing.flixster.com/pptLdfUeisGjhDI6oFz9Ex8tp-o=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8045197_p_v8_af.jpg
Eat Pray Love, Drama/Romance, 2h 20m,2010,"The scenery is nice to look at, and Julia Roberts is as luminous as ever, but without the spiritual and emotional weight of the book that inspired it, Eat Pray Love is too shallow to resonate.",0.15333333333333338,,35,rotten,spilled,42,https://resizing.flixster.com/xtij1jJox0J1Jn2DulfnxCDKFwI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8045209_p_v8_ae.jpg
Ramona and Beezus, Kids & family/Comedy, 1h 43m,2010,"If Ramona and Beezus fails to capture the essence of its classic source material, it's sunny, sweet, and wholesome.",0.005555555555555536,,70,certified-fresh,upright,71,https://resizing.flixster.com/mP-rW-7TygMF8YFUa1ihFdWY1lc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8030249_p_v8_ak.jpg
Lottery Ticket, Comedy, 1h 39m,2010,"There's a worthwhile message at the heart of Lottery Ticket, but it's buried under stale humor, tired stereotypes, and obvious clichés.",-0.1,,34,rotten,spilled,44,https://resizing.flixster.com/xFs9Y84iO1q_j0ny4qSgKbRWN-A=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8027587_p_v8_at.jpg
The American, Mystery & thriller/Drama, 1h 45m,2010,"As beautifully shot as it is emotionally restrained, The American is an unusually divisive spy thriller -- and one that rests on an unusually subdued performance from George Clooney.",0.25,,64,fresh,spilled,39,https://resizing.flixster.com/-Hxif2xdiBJrn9UKTK--pq8GmGA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8045320_p_v8_ad.jpg
The Town, Crime/Drama, 2h 4m,2010,"Tense, smartly written, and wonderfully cast, The Town proves that Ben Affleck has rediscovered his muse -- and that he's a director to be reckoned with.",0.29523809523809524,,92,certified-fresh,upright,85,https://resizing.flixster.com/W_lavl-R4FWWgSLT7j_gkvZF1ZQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8076702_p_v11_ak.jpg
Roommate, Mystery & thriller, 1h 50m,2013,,0.0,,,,,,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif
Flipped, Romance/Comedy, 1h 30m,2010,"While not without its nostalgic charms, Rob Reiner's sometimes awkward adaptation of Wendelin Van Draanen's childhood novel doesn't reach the heights of the director's earlier work like Stand By Me.",-0.3666666666666667,,55,rotten,upright,78,https://resizing.flixster.com/t1vK844HM2VeGJ2CEUQS8apiJfI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8084155_p_v8_aa.jpg
Legend of the Guardians: The Owls of Ga'Hoole, Kids & family/Adventure, 1h 31m,2010,"Legend of the Guardians' dark tone and dazzling visuals are to be admired, even if they're ultimately let down by a story that never lives up to its full potential.",0.1324074074074074,,52,rotten,upright,64,https://resizing.flixster.com/0Y6OQvNZF2S0kZiYap3XMHtKQsM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8044701_p_v8_aj.jpg
You Again, Romance/Comedy, 1h 45m,2010,"You Again represents a rare opportunity to see some of Hollywood's finest female veterans together onscreen - and, unfortunately, wastes their talents almost completely.",0.049999999999999996,,19,rotten,spilled,43,https://resizing.flixster.com/isiSYfHXY3uGTEisqzC5heRpDDw=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8077771_p_v8_ae.jpg
Alpha and Omega, Kids & family/Adventure, 1h 28m,2010,"With bland visuals and a dull, predictable plot, Alpha and Omega is a runt in 2010's animated litter.",-0.21944444444444447,,20,rotten,spilled,41,https://resizing.flixster.com/_sHVHq5bv3_LKbUI6AbtG5Xs3yg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8078146_p_v8_aa.jpg
Going the Distance, Drama, 1h 13m,2018,,0.0,,,,,,https://resizing.flixster.com/LZX1zjw-86QOVTLsqTJhlFlwhUI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16833899_p_v13_aa.jpg
Secretariat, Drama/Biography, 2h 3m,2010,"Rousing, heartwarming, and squarely traditional, Secretariat offers exactly what you'd expect from an inspirational Disney drama -- no more, and no less.",0.11388888888888889,,64,fresh,upright,76,https://resizing.flixster.com/FF9kdEXNPIkx9_WVsZI4i-B-o8c=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8078196_p_v8_ah.jpg
Zookeeper, Comedy/Fantasy, 1h 41m,2011,Zookeeper smothers Kevin James's with a sodden script and a surfeit of jokes inappropriate for the young viewers who would be intrigued by its juvenile storyline.,-0.075,,14,rotten,spilled,41,https://resizing.flixster.com/Z1-i-ZJQtHW3X30-fxc9CAgmKNk=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8099271_p_v8_ab.jpg
